ID,Category,Total,With State Certification
510117000409,High-School Counselors,1,
510117000409,Total enrollment,,
510117000410,Classroom Teachers,1,0.98
510117000410,Classroom teachers in their first year of teaching,0.02,
510117000410,Classroom teachers in their second year of teaching,0.02,
510117000410,Teachers absent more than 10 days of the school year,0.03,
510117000410,Teachers employed during current school year,0.9,
510117000410,Teachers employed during both the current and previous school year,0.82,
510117000410,High-School Counselors,1,
510117000410,Total enrollment,,
510117000411,Classroom Teachers,1,0.95
510117000411,Classroom teachers in their first year of teaching,0.09,
510117000411,Classroom teachers in their second year of teaching,0.09,
510117000411,Teachers absent more than 10 days of the school year,0.09,
510117000411,Teachers employed during current school year,1.27,
510117000411,Teachers employed during both the current and previous school year,1.14,
510117000411,High-School Counselors,1,
510117000411,Total enrollment,,
510117000414,Classroom Teachers,1,1
510117000414,Classroom teachers in their first year of teaching,0,
510117000414,Classroom teachers in their second year of teaching,0,
510117000414,Teachers absent more than 10 days of the school year,0,
510117000414,Teachers employed during current school year,1.14,
510117000414,Teachers employed during both the current and previous school year,1,
510117000414,High-School Counselors,1,
510117000414,Total enrollment,,
510117000416,Classroom Teachers,1,0.91
510117000416,Classroom teachers in their first year of teaching,0.09,
510117000416,Classroom teachers in their second year of teaching,0.06,
510117000416,Teachers absent more than 10 days of the school year,0.06,
510117000416,Teachers employed during current school year,1.11,
510117000416,Teachers employed during both the current and previous school year,1,
510117000416,High-School Counselors,1,
510117000416,Total enrollment,,
510117000417,Classroom Teachers,1,0.93
510117000417,Classroom teachers in their first year of teaching,0.07,
510117000417,Classroom teachers in their second year of teaching,0.11,
510117000417,Teachers absent more than 10 days of the school year,0.07,
510117000417,Teachers employed during current school year,1.36,
510117000417,Teachers employed during both the current and previous school year,1.21,
510117000417,High-School Counselors,1,
510117000417,Total enrollment,,
510117000418,Classroom Teachers,1,1
510117000418,Classroom teachers in their first year of teaching,0,
510117000418,Classroom teachers in their second year of teaching,0,
510117000418,Teachers absent more than 10 days of the school year,0.05,
510117000418,Teachers employed during current school year,1.05,
510117000418,Teachers employed during both the current and previous school year,0.95,
510117000418,High-School Counselors,1,
510117000418,Total enrollment,,
510120000419,Classroom Teachers,1,1
510120000419,Classroom teachers in their first year of teaching,0.18,
510120000419,Classroom teachers in their second year of teaching,0.03,
510120000419,Teachers absent more than 10 days of the school year,0.62,
510120000419,Teachers employed during current school year,1,
510120000419,Teachers employed during both the current and previous school year,0.79,
510120000419,High-School Counselors,1,
510120000419,Total enrollment,,
510120000420,Classroom Teachers,1,1
510120000420,Classroom teachers in their first year of teaching,0.13,
510120000420,Classroom teachers in their second year of teaching,0.18,
510120000420,Teachers absent more than 10 days of the school year,0.44,
510120000420,Teachers employed during current school year,1,
510120000420,Teachers employed during both the current and previous school year,0.62,
510120000420,High-School Counselors,1,
510120000420,Total enrollment,,
510120000421,Classroom Teachers,1,1
510120000421,Classroom teachers in their first year of teaching,0.07,
510120000421,Classroom teachers in their second year of teaching,0.1,
510120000421,Teachers absent more than 10 days of the school year,0.46,
510120000421,Teachers employed during current school year,1,
510120000421,Teachers employed during both the current and previous school year,0.88,
510120000421,High-School Counselors,1,
510120000421,Total enrollment,,
510126000086,Classroom Teachers,1,0.93
510126000086,Classroom teachers in their first year of teaching,0.02,
510126000086,Classroom teachers in their second year of teaching,0.03,
510126000086,Teachers absent more than 10 days of the school year,0.08,
510126000086,Teachers employed during current school year,1.03,
510126000086,Teachers employed during both the current and previous school year,0.94,
510126000086,High-School Counselors,1,
510126000086,Total enrollment,,
510126000423,Classroom Teachers,1,0.96
510126000423,Classroom teachers in their first year of teaching,0.03,
510126000423,Classroom teachers in their second year of teaching,0.05,
510126000423,Teachers absent more than 10 days of the school year,0.29,
510126000423,Teachers employed during current school year,1.03,
510126000423,Teachers employed during both the current and previous school year,0.9,
510126000423,High-School Counselors,1,
510126000423,Total enrollment,,
510126000426,Classroom Teachers,1,0.95
510126000426,Classroom teachers in their first year of teaching,0.02,
510126000426,Classroom teachers in their second year of teaching,0.06,
510126000426,Teachers absent more than 10 days of the school year,0.32,
510126000426,Teachers employed during current school year,1,
510126000426,Teachers employed during both the current and previous school year,0.88,
510126000426,High-School Counselors,1,
510126000426,Total enrollment,,
510126000428,Classroom Teachers,1,0.91
510126000428,Classroom teachers in their first year of teaching,0.12,
510126000428,Classroom teachers in their second year of teaching,0.06,
510126000428,Teachers absent more than 10 days of the school year,0.18,
510126000428,Teachers employed during current school year,1.01,
510126000428,Teachers employed during both the current and previous school year,0.72,
510126000428,High-School Counselors,1,
510126000428,Total enrollment,,
510126002063,Classroom Teachers,1,1
510126002063,Classroom teachers in their first year of teaching,0.02,
510126002063,Classroom teachers in their second year of teaching,0,
510126002063,Teachers absent more than 10 days of the school year,0.3,
510126002063,Teachers employed during current school year,1.01,
510126002063,Teachers employed during both the current and previous school year,0.93,
510126002063,High-School Counselors,1,
510126002063,Total enrollment,,
510126002114,Classroom Teachers,1,0.88
510126002114,Classroom teachers in their first year of teaching,0.04,
510126002114,Classroom teachers in their second year of teaching,0.06,
510126002114,Teachers absent more than 10 days of the school year,0.43,
510126002114,Teachers employed during current school year,1.03,
510126002114,Teachers employed during both the current and previous school year,0.89,
510126002114,High-School Counselors,1,
510126002114,Total enrollment,,
510126002115,Classroom Teachers,1,0.92
510126002115,Classroom teachers in their first year of teaching,0.02,
510126002115,Classroom teachers in their second year of teaching,0.08,
510126002115,Teachers absent more than 10 days of the school year,0.31,
510126002115,Teachers employed during current school year,1.07,
510126002115,Teachers employed during both the current and previous school year,0.86,
510126002115,High-School Counselors,1,
510126002115,Total enrollment,,
510126002116,Classroom Teachers,1,0.82
510126002116,Classroom teachers in their first year of teaching,0.02,
510126002116,Classroom teachers in their second year of teaching,0.06,
510126002116,Teachers absent more than 10 days of the school year,0.43,
510126002116,Teachers employed during current school year,1.02,
510126002116,Teachers employed during both the current and previous school year,0.9,
510126002116,High-School Counselors,1,
510126002116,Total enrollment,,
510126002117,Classroom Teachers,1,0.91
510126002117,Classroom teachers in their first year of teaching,0.04,
510126002117,Classroom teachers in their second year of teaching,0.11,
510126002117,Teachers absent more than 10 days of the school year,0.46,
510126002117,Teachers employed during current school year,1,
510126002117,Teachers employed during both the current and previous school year,0.88,
510126002117,High-School Counselors,1,
510126002117,Total enrollment,,
510126002118,Classroom Teachers,1,0.89
510126002118,Classroom teachers in their first year of teaching,0.02,
510126002118,Classroom teachers in their second year of teaching,0.06,
510126002118,Teachers absent more than 10 days of the school year,0.49,
510126002118,Teachers employed during current school year,1.04,
510126002118,Teachers employed during both the current and previous school year,0.78,
510126002118,High-School Counselors,1,
510126002118,Total enrollment,,
510126002144,Classroom Teachers,1,0.78
510126002144,Classroom teachers in their first year of teaching,0.05,
510126002144,Classroom teachers in their second year of teaching,0.16,
510126002144,Teachers absent more than 10 days of the school year,0.4,
510126002144,Teachers employed during current school year,1.04,
510126002144,Teachers employed during both the current and previous school year,0.82,
510126002144,High-School Counselors,1,
510126002144,Total enrollment,,
510126002146,Classroom Teachers,1,0.96
510126002146,Classroom teachers in their first year of teaching,0.09,
510126002146,Classroom teachers in their second year of teaching,0,
510126002146,Teachers absent more than 10 days of the school year,0.24,
510126002146,Teachers employed during current school year,1.03,
510126002146,Teachers employed during both the current and previous school year,0.89,
510126002146,High-School Counselors,1,
510126002146,Total enrollment,,
510126002182,Classroom Teachers,1,1
510126002182,Classroom teachers in their first year of teaching,0.05,
510126002182,Classroom teachers in their second year of teaching,0.02,
510126002182,Teachers absent more than 10 days of the school year,0.35,
510126002182,Teachers employed during current school year,1.03,
510126002182,Teachers employed during both the current and previous school year,0.86,
510126002182,High-School Counselors,1,
510126002182,Total enrollment,,
510126002271,Classroom Teachers,1,0.91
510126002271,Classroom teachers in their first year of teaching,0.09,
510126002271,Classroom teachers in their second year of teaching,0.05,
510126002271,Teachers absent more than 10 days of the school year,0.21,
510126002271,Teachers employed during current school year,1.02,
510126002271,Teachers employed during both the current and previous school year,0.85,
510126002271,High-School Counselors,1,
510126002271,Total enrollment,,
510126002272,Classroom Teachers,1,0.91
510126002272,Classroom teachers in their first year of teaching,0.11,
510126002272,Classroom teachers in their second year of teaching,0.09,
510126002272,Teachers absent more than 10 days of the school year,0.29,
510126002272,Teachers employed during current school year,1,
510126002272,Teachers employed during both the current and previous school year,0.76,
510126002272,High-School Counselors,1,
510126002272,Total enrollment,,
510126002333,Classroom Teachers,1,0.93
510126002333,Classroom teachers in their first year of teaching,0.02,
510126002333,Classroom teachers in their second year of teaching,0.02,
510126002333,Teachers absent more than 10 days of the school year,0.4,
510126002333,Teachers employed during current school year,1.01,
510126002333,Teachers employed during both the current and previous school year,0.82,
510126002333,High-School Counselors,1,
510126002333,Total enrollment,,
510126002334,Classroom Teachers,1,0.96
510126002334,Classroom teachers in their first year of teaching,0.07,
510126002334,Classroom teachers in their second year of teaching,0.05,
510126002334,Teachers absent more than 10 days of the school year,0.42,
510126002334,Teachers employed during current school year,1.04,
510126002334,Teachers employed during both the current and previous school year,0.8,
510126002334,High-School Counselors,1,
510126002334,Total enrollment,,
510126002335,Classroom Teachers,1,0.91
510126002335,Classroom teachers in their first year of teaching,0.13,
510126002335,Classroom teachers in their second year of teaching,0.04,
510126002335,Teachers absent more than 10 days of the school year,0.2,
510126002335,Teachers employed during current school year,1.01,
510126002335,Teachers employed during both the current and previous school year,0.85,
510126002335,High-School Counselors,1,
510126002335,Total enrollment,,
510126002436,Classroom Teachers,1,0.94
510126002436,Classroom teachers in their first year of teaching,0.04,
510126002436,Classroom teachers in their second year of teaching,0.01,
510126002436,Teachers absent more than 10 days of the school year,0.3,
510126002436,Teachers employed during current school year,1.04,
510126002436,Teachers employed during both the current and previous school year,0.91,
510126002436,High-School Counselors,1,
510126002436,Total enrollment,,
510126002496,Classroom Teachers,1,0.94
510126002496,Classroom teachers in their first year of teaching,0.06,
510126002496,Classroom teachers in their second year of teaching,0.02,
510126002496,Teachers absent more than 10 days of the school year,0.49,
510126002496,Teachers employed during current school year,1.06,
510126002496,Teachers employed during both the current and previous school year,0.88,
510126002496,High-School Counselors,1,
510126002496,Total enrollment,,
510183000777,Classroom Teachers,1,1
510183000777,Classroom teachers in their first year of teaching,0.03,
510183000777,Classroom teachers in their second year of teaching,0.08,
510183000777,Teachers absent more than 10 days of the school year,0.08,
510183000777,Teachers employed during current school year,1.05,
510183000777,Teachers employed during both the current and previous school year,1,
510183000777,High-School Counselors,1,
510183000777,Total enrollment,,
510183000779,Classroom Teachers,1,1
510183000779,Classroom teachers in their first year of teaching,0.03,
510183000779,Classroom teachers in their second year of teaching,0,
510183000779,Teachers absent more than 10 days of the school year,0.35,
510183000779,Teachers employed during current school year,1.16,
510183000779,Teachers employed during both the current and previous school year,1.13,
510183000779,High-School Counselors,1,
510183000779,Total enrollment,,
510183000780,Classroom Teachers,1,0.99
510183000780,Classroom teachers in their first year of teaching,0.05,
510183000780,Classroom teachers in their second year of teaching,0.08,
510183000780,Teachers absent more than 10 days of the school year,0.23,
510183000780,Teachers employed during current school year,1.04,
510183000780,Teachers employed during both the current and previous school year,0.93,
510183000780,High-School Counselors,1,
510183000780,Total enrollment,,
510183000781,Classroom Teachers,1,1
510183000781,Classroom teachers in their first year of teaching,0,
510183000781,Classroom teachers in their second year of teaching,0.06,
510183000781,Teachers absent more than 10 days of the school year,0.17,
510183000781,Teachers employed during current school year,0.94,
510183000781,Teachers employed during both the current and previous school year,0.89,
510183000781,High-School Counselors,1,
510183000781,Total enrollment,,
510183001617,Classroom Teachers,1,1
510183001617,Classroom teachers in their first year of teaching,0,
510183001617,Classroom teachers in their second year of teaching,0.02,
510183001617,Teachers absent more than 10 days of the school year,0.22,
510183001617,Teachers employed during current school year,1.06,
510183001617,Teachers employed during both the current and previous school year,1.02,
510183001617,High-School Counselors,1,
510183001617,Total enrollment,,
510183001995,Classroom Teachers,1,1
510183001995,Classroom teachers in their first year of teaching,0.05,
510183001995,Classroom teachers in their second year of teaching,0.03,
510183001995,Teachers absent more than 10 days of the school year,0.19,
510183001995,Teachers employed during current school year,1.22,
510183001995,Teachers employed during both the current and previous school year,1.06,
510183001995,High-School Counselors,1,
510183001995,Total enrollment,,
510183001996,Classroom Teachers,1,1
510183001996,Classroom teachers in their first year of teaching,0.02,
510183001996,Classroom teachers in their second year of teaching,0.02,
510183001996,Teachers absent more than 10 days of the school year,0.16,
510183001996,Teachers employed during current school year,1.16,
510183001996,Teachers employed during both the current and previous school year,1.11,
510183001996,High-School Counselors,1,
510183001996,Total enrollment,,
510183002191,Classroom Teachers,1,0.99
510183002191,Classroom teachers in their first year of teaching,0.01,
510183002191,Classroom teachers in their second year of teaching,0.02,
510183002191,Teachers absent more than 10 days of the school year,0.14,
510183002191,Teachers employed during current school year,1.02,
510183002191,Teachers employed during both the current and previous school year,0.92,
510183002191,High-School Counselors,1,
510183002191,Total enrollment,,
510183002277,Classroom Teachers,1,1
510183002277,Classroom teachers in their first year of teaching,0.07,
510183002277,Classroom teachers in their second year of teaching,0.01,
510183002277,Teachers absent more than 10 days of the school year,0.18,
510183002277,Teachers employed during current school year,1.08,
510183002277,Teachers employed during both the current and previous school year,0.83,
510183002277,High-School Counselors,1,
510183002277,Total enrollment,,
510183002338,Classroom Teachers,1,1
510183002338,Classroom teachers in their first year of teaching,0.02,
510183002338,Classroom teachers in their second year of teaching,0.02,
510183002338,Teachers absent more than 10 days of the school year,0.21,
510183002338,Teachers employed during current school year,1.2,
510183002338,Teachers employed during both the current and previous school year,0.96,
510183002338,High-School Counselors,1,
510183002338,Total enrollment,,
510183002506,Classroom Teachers,1,1
510183002506,Classroom teachers in their first year of teaching,0,
510183002506,Classroom teachers in their second year of teaching,0,
510183002506,Teachers absent more than 10 days of the school year,0.23,
510183002506,Teachers employed during current school year,1.18,
510183002506,Teachers employed during both the current and previous school year,1.11,
510183002506,High-School Counselors,1,
510183002506,Total enrollment,,
510183002535,Classroom Teachers,1,1
510183002535,Classroom teachers in their first year of teaching,0.05,
510183002535,Classroom teachers in their second year of teaching,0,
510183002535,Teachers absent more than 10 days of the school year,0.22,
510183002535,Teachers employed during current school year,1.25,
510183002535,Teachers employed during both the current and previous school year,1.13,
510183002535,High-School Counselors,1,
510183002535,Total enrollment,,
510183002691,Classroom Teachers,1,0.86
510183002691,Classroom teachers in their first year of teaching,0,
510183002691,Classroom teachers in their second year of teaching,0,
510183002691,Teachers absent more than 10 days of the school year,0.41,
510183002691,Teachers employed during current school year,1.23,
510183002691,Teachers employed during both the current and previous school year,0.82,
510183002691,High-School Counselors,1,
510183002691,Total enrollment,,
510183002772,Classroom Teachers,1,1
510183002772,Classroom teachers in their first year of teaching,0.02,
510183002772,Classroom teachers in their second year of teaching,0.02,
510183002772,Teachers absent more than 10 days of the school year,0.12,
510183002772,Teachers employed during current school year,1.24,
510183002772,Teachers employed during both the current and previous school year,1.18,
510183002772,High-School Counselors,1,
510183002772,Total enrollment,,
510186000602,Classroom Teachers,1,1
510186000602,Classroom teachers in their first year of teaching,0.13,
510186000602,Classroom teachers in their second year of teaching,0.1,
510186000602,Teachers absent more than 10 days of the school year,0.15,
510186000602,Teachers employed during current school year,1,
510186000602,Teachers employed during both the current and previous school year,1.85,
510186000602,High-School Counselors,1,
510186000602,Total enrollment,,
510186000782,Classroom Teachers,1,0.99
510186000782,Classroom teachers in their first year of teaching,0.07,
510186000782,Classroom teachers in their second year of teaching,0.04,
510186000782,Teachers absent more than 10 days of the school year,0.22,
510186000782,Teachers employed during current school year,1,
510186000782,Teachers employed during both the current and previous school year,1.99,
510186000782,High-School Counselors,1,
510186000782,Total enrollment,,
510225001914,Classroom Teachers,1,1
510225001914,Classroom teachers in their first year of teaching,0,
510225001914,Classroom teachers in their second year of teaching,0.06,
510225001914,Teachers absent more than 10 days of the school year,0.08,
510225001914,Teachers employed during current school year,1,
510225001914,Teachers employed during both the current and previous school year,0.87,
510225001914,High-School Counselors,1,
510225001914,Total enrollment,,
510225001915,Classroom Teachers,1,0.98
510225001915,Classroom teachers in their first year of teaching,0,
510225001915,Classroom teachers in their second year of teaching,0.06,
510225001915,Teachers absent more than 10 days of the school year,0.06,
510225001915,Teachers employed during current school year,1.01,
510225001915,Teachers employed during both the current and previous school year,0.94,
510225001915,High-School Counselors,1,
510225001915,Total enrollment,,
510225002153,Classroom Teachers,1,1
510225002153,Classroom teachers in their first year of teaching,0.03,
510225002153,Classroom teachers in their second year of teaching,0.03,
510225002153,Teachers absent more than 10 days of the school year,0.16,
510225002153,Teachers employed during current school year,1.01,
510225002153,Teachers employed during both the current and previous school year,0.99,
510225002153,High-School Counselors,1,
510225002153,Total enrollment,,
510225002154,Classroom Teachers,1,1
510225002154,Classroom teachers in their first year of teaching,0,
510225002154,Classroom teachers in their second year of teaching,0.04,
510225002154,Teachers absent more than 10 days of the school year,0.06,
510225002154,Teachers employed during current school year,1.01,
510225002154,Teachers employed during both the current and previous school year,0.97,
510225002154,High-School Counselors,1,
510225002154,Total enrollment,,
510225002282,Classroom Teachers,1,1
510225002282,Classroom teachers in their first year of teaching,0.03,
510225002282,Classroom teachers in their second year of teaching,0.1,
510225002282,Teachers absent more than 10 days of the school year,0.08,
510225002282,Teachers employed during current school year,1.01,
510225002282,Teachers employed during both the current and previous school year,0.87,
510225002282,High-School Counselors,1,
510225002282,Total enrollment,,
510225002283,Classroom Teachers,1,1
510225002283,Classroom teachers in their first year of teaching,0,
510225002283,Classroom teachers in their second year of teaching,0.11,
510225002283,Teachers absent more than 10 days of the school year,0.13,
510225002283,Teachers employed during current school year,1,
510225002283,Teachers employed during both the current and previous school year,0.8,
510225002283,High-School Counselors,1,
510225002283,Total enrollment,,
510225002285,Classroom Teachers,1,1
510225002285,Classroom teachers in their first year of teaching,0.01,
510225002285,Classroom teachers in their second year of teaching,0.04,
510225002285,Teachers absent more than 10 days of the school year,0.09,
510225002285,Teachers employed during current school year,1.02,
510225002285,Teachers employed during both the current and previous school year,0.95,
510225002285,High-School Counselors,1,
510225002285,Total enrollment,,
510225002286,Classroom Teachers,1,1
510225002286,Classroom teachers in their first year of teaching,0,
510225002286,Classroom teachers in their second year of teaching,0.04,
510225002286,Teachers absent more than 10 days of the school year,0.09,
510225002286,Teachers employed during current school year,1,
510225002286,Teachers employed during both the current and previous school year,0.98,
510225002286,High-School Counselors,1,
510225002286,Total enrollment,,
510225002287,Classroom Teachers,1,0.98
510225002287,Classroom teachers in their first year of teaching,0,
510225002287,Classroom teachers in their second year of teaching,0.04,
510225002287,Teachers absent more than 10 days of the school year,0.18,
510225002287,Teachers employed during current school year,1.01,
510225002287,Teachers employed during both the current and previous school year,0.94,
510225002287,High-School Counselors,1,
510225002287,Total enrollment,,
510225002288,Classroom Teachers,1,1
510225002288,Classroom teachers in their first year of teaching,0.01,
510225002288,Classroom teachers in their second year of teaching,0.09,
510225002288,Teachers absent more than 10 days of the school year,0.1,
510225002288,Teachers employed during current school year,1,
510225002288,Teachers employed during both the current and previous school year,0.86,
510225002288,High-School Counselors,1,
510225002288,Total enrollment,,
510225002289,Classroom Teachers,1,1
510225002289,Classroom teachers in their first year of teaching,0,
510225002289,Classroom teachers in their second year of teaching,0.03,
510225002289,Teachers absent more than 10 days of the school year,0.09,
510225002289,Teachers employed during current school year,1,
510225002289,Teachers employed during both the current and previous school year,0.88,
510225002289,High-School Counselors,1,
510225002289,Total enrollment,,
510225002411,Classroom Teachers,1,1
510225002411,Classroom teachers in their first year of teaching,0,
510225002411,Classroom teachers in their second year of teaching,0.04,
510225002411,Teachers absent more than 10 days of the school year,0.1,
510225002411,Teachers employed during current school year,1.02,
510225002411,Teachers employed during both the current and previous school year,0.94,
510225002411,High-School Counselors,1,
510225002411,Total enrollment,,
510225002412,Classroom Teachers,1,1
510225002412,Classroom teachers in their first year of teaching,0.02,
510225002412,Classroom teachers in their second year of teaching,0.04,
510225002412,Teachers absent more than 10 days of the school year,0.14,
510225002412,Teachers employed during current school year,1.01,
510225002412,Teachers employed during both the current and previous school year,0.85,
510225002412,High-School Counselors,1,
510225002412,Total enrollment,,
510225002413,Classroom Teachers,1,1
510225002413,Classroom teachers in their first year of teaching,0,
510225002413,Classroom teachers in their second year of teaching,0.1,
510225002413,Teachers absent more than 10 days of the school year,0.08,
510225002413,Teachers employed during current school year,1.01,
510225002413,Teachers employed during both the current and previous school year,0.78,
510225002413,High-School Counselors,1,
510225002413,Total enrollment,,
510225002414,Classroom Teachers,1,1
510225002414,Classroom teachers in their first year of teaching,0,
510225002414,Classroom teachers in their second year of teaching,0,
510225002414,Teachers absent more than 10 days of the school year,0.1,
510225002414,Teachers employed during current school year,1,
510225002414,Teachers employed during both the current and previous school year,0.93,
510225002414,High-School Counselors,1,
510225002414,Total enrollment,,
510225002415,Classroom Teachers,1,1
510225002415,Classroom teachers in their first year of teaching,0,
510225002415,Classroom teachers in their second year of teaching,0.02,
510225002415,Teachers absent more than 10 days of the school year,0.21,
510225002415,Teachers employed during current school year,1.02,
510225002415,Teachers employed during both the current and previous school year,0.98,
510225002415,High-School Counselors,1,
510225002415,Total enrollment,,
510267001085,Classroom Teachers,1,0.98
510267001085,Classroom teachers in their first year of teaching,0.12,
510267001085,Classroom teachers in their second year of teaching,0.15,
510267001085,Teachers absent more than 10 days of the school year,0.1,
510267001085,Teachers employed during current school year,1,
510267001085,Teachers employed during both the current and previous school year,0.83,
510267001085,High-School Counselors,1,
510267001085,Total enrollment,,
510267001087,Classroom Teachers,1,1
510267001087,Classroom teachers in their first year of teaching,0.1,
510267001087,Classroom teachers in their second year of teaching,0.28,
510267001087,Teachers absent more than 10 days of the school year,0.28,
510267001087,Teachers employed during current school year,1.3,
510267001087,Teachers employed during both the current and previous school year,0.85,
510267001087,High-School Counselors,1,
510267001087,Total enrollment,,
510267001088,Classroom Teachers,1,1
510267001088,Classroom teachers in their first year of teaching,0.19,
510267001088,Classroom teachers in their second year of teaching,0.19,
510267001088,Teachers absent more than 10 days of the school year,0.34,
510267001088,Teachers employed during current school year,1.19,
510267001088,Teachers employed during both the current and previous school year,1,
510267001088,High-School Counselors,1,
510267001088,Total enrollment,,
510267001089,Classroom Teachers,1,1
510267001089,Classroom teachers in their first year of teaching,0.17,
510267001089,Classroom teachers in their second year of teaching,0.15,
510267001089,Teachers absent more than 10 days of the school year,0.23,
510267001089,Teachers employed during current school year,1.25,
510267001089,Teachers employed during both the current and previous school year,0.92,
510267001089,High-School Counselors,1,
510267001089,Total enrollment,,
510267001090,Classroom Teachers,1,1
510267001090,Classroom teachers in their first year of teaching,0.07,
510267001090,Classroom teachers in their second year of teaching,0.06,
510267001090,Teachers absent more than 10 days of the school year,0.3,
510267001090,Teachers employed during current school year,1.16,
510267001090,Teachers employed during both the current and previous school year,0.87,
510267001090,High-School Counselors,1,
510267001090,Total enrollment,,
510267001092,Classroom Teachers,1,1
510267001092,Classroom teachers in their first year of teaching,0,
510267001092,Classroom teachers in their second year of teaching,0,
510267001092,Teachers absent more than 10 days of the school year,0.91,
510267001092,Teachers employed during current school year,1.27,
510267001092,Teachers employed during both the current and previous school year,0.91,
510267001092,High-School Counselors,1,
510267001092,Total enrollment,,
510267001094,Classroom Teachers,1,1
510267001094,Classroom teachers in their first year of teaching,0,
510267001094,Classroom teachers in their second year of teaching,0.19,
510267001094,Teachers absent more than 10 days of the school year,0.42,
510267001094,Teachers employed during current school year,1.13,
510267001094,Teachers employed during both the current and previous school year,0.74,
510267001094,High-School Counselors,1,
510267001094,Total enrollment,,
510267001095,Classroom Teachers,1,1
510267001095,Classroom teachers in their first year of teaching,0.1,
510267001095,Classroom teachers in their second year of teaching,0.15,
510267001095,Teachers absent more than 10 days of the school year,0.2,
510267001095,Teachers employed during current school year,1.4,
510267001095,Teachers employed during both the current and previous school year,1.15,
510267001095,High-School Counselors,1,
510267001095,Total enrollment,,
510267001096,Classroom Teachers,1,1
510267001096,Classroom teachers in their first year of teaching,0.1,
510267001096,Classroom teachers in their second year of teaching,0.03,
510267001096,Teachers absent more than 10 days of the school year,0.32,
510267001096,Teachers employed during current school year,1.2,
510267001096,Teachers employed during both the current and previous school year,1.08,
510267001096,High-School Counselors,1,
510267001096,Total enrollment,,
510267001097,Classroom Teachers,1,1
510267001097,Classroom teachers in their first year of teaching,0.03,
510267001097,Classroom teachers in their second year of teaching,0.11,
510267001097,Teachers absent more than 10 days of the school year,0.24,
510267001097,Teachers employed during current school year,1.26,
510267001097,Teachers employed during both the current and previous school year,0.89,
510267001097,High-School Counselors,1,
510267001097,Total enrollment,,
510267001098,Classroom Teachers,1,1
510267001098,Classroom teachers in their first year of teaching,0.09,
510267001098,Classroom teachers in their second year of teaching,0.1,
510267001098,Teachers absent more than 10 days of the school year,0.3,
510267001098,Teachers employed during current school year,1.14,
510267001098,Teachers employed during both the current and previous school year,0.92,
510267001098,High-School Counselors,1,
510267001098,Total enrollment,,
510267001100,Classroom Teachers,1,1
510267001100,Classroom teachers in their first year of teaching,0.11,
510267001100,Classroom teachers in their second year of teaching,0.16,
510267001100,Teachers absent more than 10 days of the school year,0.24,
510267001100,Teachers employed during current school year,1.16,
510267001100,Teachers employed during both the current and previous school year,0.92,
510267001100,High-School Counselors,1,
510267001100,Total enrollment,,
510267001101,Classroom Teachers,1,1
510267001101,Classroom teachers in their first year of teaching,0.2,
510267001101,Classroom teachers in their second year of teaching,0.08,
510267001101,Teachers absent more than 10 days of the school year,0.18,
510267001101,Teachers employed during current school year,1.16,
510267001101,Teachers employed during both the current and previous school year,0.92,
510267001101,High-School Counselors,1,
510267001101,Total enrollment,,
510267001104,Classroom Teachers,1,1
510267001104,Classroom teachers in their first year of teaching,0.13,
510267001104,Classroom teachers in their second year of teaching,0.18,
510267001104,Teachers absent more than 10 days of the school year,0.17,
510267001104,Teachers employed during current school year,1.17,
510267001104,Teachers employed during both the current and previous school year,0.89,
510267001104,High-School Counselors,1,
510267001104,Total enrollment,,
510267001105,Classroom Teachers,1,1
510267001105,Classroom teachers in their first year of teaching,0.07,
510267001105,Classroom teachers in their second year of teaching,0.19,
510267001105,Teachers absent more than 10 days of the school year,0.32,
510267001105,Teachers employed during current school year,1.25,
510267001105,Teachers employed during both the current and previous school year,0.95,
510267001105,High-School Counselors,1,
510267001105,Total enrollment,,
510313001314,Classroom Teachers,1,0.87
510313001314,Classroom teachers in their first year of teaching,0.15,
510313001314,Classroom teachers in their second year of teaching,0.04,
510313001314,Teachers absent more than 10 days of the school year,0.49,
510313001314,Teachers employed during current school year,1,
510313001314,Teachers employed during both the current and previous school year,0.74,
510313001314,High-School Counselors,1,
510313001314,Total enrollment,,
510313001315,Classroom Teachers,1,0.89
510313001315,Classroom teachers in their first year of teaching,0.07,
510313001315,Classroom teachers in their second year of teaching,0.09,
510313001315,Teachers absent more than 10 days of the school year,0.27,
510313001315,Teachers employed during current school year,1,
510313001315,Teachers employed during both the current and previous school year,0.91,
510313001315,High-School Counselors,1,
510313001315,Total enrollment,,
510313001316,Classroom Teachers,1,0.98
510313001316,Classroom teachers in their first year of teaching,0.09,
510313001316,Classroom teachers in their second year of teaching,0.14,
510313001316,Teachers absent more than 10 days of the school year,0.3,
510313001316,Teachers employed during current school year,1,
510313001316,Teachers employed during both the current and previous school year,0.85,
510313001316,High-School Counselors,1,
510313001316,Total enrollment,,
510313001317,Classroom Teachers,1,0.95
510313001317,Classroom teachers in their first year of teaching,0.15,
510313001317,Classroom teachers in their second year of teaching,0.05,
510313001317,Teachers absent more than 10 days of the school year,0.24,
510313001317,Teachers employed during current school year,1.09,
510313001317,Teachers employed during both the current and previous school year,0.82,
510313001317,High-School Counselors,1,
510313001317,Total enrollment,,
510313001319,Classroom Teachers,1,0.88
510313001319,Classroom teachers in their first year of teaching,0.14,
510313001319,Classroom teachers in their second year of teaching,0.08,
